loan_amount,annual_income,employment_length_years,credit_history_years,debt_to_income,revolving_utilization,num_delinquencies,num_credit_lines,inquiries_last_6m,fico_score,open_credit_cards,public_records,loan_purpose,home_ownership,state,age,months_since_last_delinquency,annual_installment,loan_term_months,num_dependents,utilization_ratio,bankruptcies,mortgage_accounts,verification_status,default
15502,104421,13,1,0.4950926120105801,0.02891697801727333,0,15,2,624,11,2,education,OWN,PA,63,33,3714,60,1,0.35406173178802025,0,3,not_verified,1
22777,120763,12,27,0.3153857573490212,0.5560388574729374,0,5,8,580,2,3,home,OWN,GA,47,23,2570,36,4,0.230430780279121,2,4,not_verified,0
11627,148264,2,14,0.1986730314248237,0.4822352078493525,1,15,0,645,1,0,education,OWN,PA,35,15,6879,60,2,0.038405095543595835,2,4,verified,0
9792,167505,23,4,0.3290660632894424,0.07030476782000195,2,2,2,686,12,4,home,MORTGAGE,MI,19,90,7994,60,2,0.9833179500899117,2,4,verified,0
44323,99629,31,3,0.06173080460557913,0.6102632969848685,0,12,5,647,5,2,education,RENT,IL,57,53,6434,60,3,0.21713854507453334,2,2,not_verified,1
44021,139062,36,1,0.07746042310769238,0.37541413163210446,0,8,6,332,6,1,home,MORTGAGE,NC,22,62,10953,36,2,0.41692382333753464,2,3,verified,0
9433,45617,7,19,0.3881589418337422,0.3222849873652013,1,4,3,385,7,4,medical,RENT,TX,58,96,6810,60,3,0.03268967693614866,1,4,verified,0
44001,122454,34,24,0.223079453842434,0.6636670815787025,1,17,0,541,10,2,business,MORTGAGE,OH,57,4,5109,36,0,0.3896472738398752,0,2,verified,0
12016,177754,22,18,0.03760475198388007,0.40873910498362065,1,24,2,831,10,0,home,OWN,GA,39,38,10651,60,0,0.2847737420819808,2,1,verified,1
24897,25250,15,22,0.3565242522980961,0.13867398211188375,1,11,6,474,5,4,car,RENT,FL,38,66,6198,60,1,0.5464193087793898,1,0,not_verified,1
3612,47836,35,12,0.5700898978124891,0.6296198928161665,0,17,6,519,4,4,car,RENT,NY,43,4,12052,60,2,0.5706299474417813,1,0,verified,0
24483,127319,8,4,0.22231078855241757,0.3891657404612434,0,23,4,450,6,4,home,RENT,MI,66,53,4782,60,4,0.30402286156498226,0,0,verified,1
49555,82173,38,2,0.3295995861196358,0.2565007041143591,0,1,5,476,9,0,home,OWN,GA,27,2,6119,36,4,0.010891586886490168,2,2,not_verified,0
18159,142939,17,14,0.5776189509136631,0.1927283965209411,0,19,3,481,1,2,car,OWN,CA,52,89,9337,36,1,0.6687041033785162,1,2,not_verified,0
45974,121761,30,2,0.15627119765411548,0.8907926046050645,0,3,5,792,4,0,medical,OWN,PA,68,48,14093,60,1,0.3917454946555474,2,1,not_verified,0
41994,21251,37,27,0.4892687062484385,0.21907851728859784,0,21,7,601,7,3,car,MORTGAGE,OH,30,11,5059,36,2,0.600767376223611,2,2,verified,1
15541,116429,36,24,0.1692700697220744,0.6958425132320123,1,16,6,580,1,4,wedding,RENT,FL,59,74,8169,60,0,0.31685614076759083,1,1,verified,1
36920,71246,33,10,0.5166668814784326,0.1821198269678802,0,16,3,317,7,4,car,MORTGAGE,IL,56,19,8732,36,4,0.9239417101204745,0,4,not_verified,1
27531,179078,5,1,0.12210885401550817,0.23297715778216788,0,24,2,570,4,4,wedding,OWN,MI,53,75,3856,60,3,0.8879552130867424,2,1,not_verified,0
2585,101966,35,26,0.12777684179806778,0.38185685679446735,0,8,5,812,6,0,education,RENT,MI,60,7,3953,36,3,0.24296260911569878,1,2,not_verified,0
4943,186857,13,27,0.02534924301606,0.6950971844287878,0,11,2,643,3,3,car,OWN,NC,50,108,13061,60,4,0.5151588526890133,0,2,verified,0
24939,152536,23,13,0.10808747445477787,0.6448911127955292,0,10,5,556,3,0,wedding,MORTGAGE,FL,34,66,1524,60,3,0.05153589843838091,0,3,not_verified,0
20457,82344,32,24,0.22340374279887262,0.3596022584774563,0,10,0,766,11,0,medical,MORTGAGE,FL,61,3,504,60,4,0.6246058914417907,1,2,not_verified,0
2021,156353,18,28,0.3191920357315994,0.4501132669472744,0,12,4,435,5,1,wedding,MORTGAGE,NY,53,60,5846,36,2,0.6215303757232982,0,4,verified,1
12653,65106,28,2,0.5346425388575461,0.017635375675762455,1,23,5,445,6,1,home,RENT,TX,58,83,10515,36,1,0.6027320784514888,1,4,not_verified,0
44573,136720,5,5,0.3815648550170433,0.18810512200339624,2,15,3,510,4,0,home,MORTGAGE,GA,54,97,14842,60,2,0.11155665810713011,1,3,not_verified,0
14417,109840,2,2,0.2770099474573795,0.6553909122937509,1,2,7,810,3,3,home,MORTGAGE,GA,60,102,10058,60,2,0.7843700064690705,1,0,verified,0
41757,120293,17,1,0.5607522207607895,0.6807857318551223,1,19,7,804,0,3,education,MORTGAGE,GA,62,80,8877,36,0,0.43352100842815444,1,0,verified,0
10692,191112,20,28,0.2293120778241789,0.09000341396662115,0,17,7,364,14,4,home,MORTGAGE,FL,55,73,9762,36,4,0.2392104727045764,1,3,verified,1
46758,23998,28,20,0.07288082261866721,0.8511088953626251,1,15,1,370,2,0,home,RENT,IL,23,1,4123,36,2,0.1731919108157346,0,2,not_verified,0
7873,160589,35,13,0.5683385915232391,0.5000610079188456,1,4,6,513,4,4,home,OWN,TX,45,60,9657,36,0,0.10846779802365447,2,4,not_verified,0
6675,121083,30,18,0.3715749821561243,0.25680370411662834,1,15,8,659,14,4,home,OWN,CA,23,112,6630,60,1,0.6200933058514941,1,4,not_verified,1
1161,57866,7,8,0.5059402067745985,0.6267178240174627,1,20,0,849,12,4,education,RENT,PA,33,18,5999,36,0,0.8115710186796238,2,1,not_verified,0
38065,128384,31,1,0.04872669752155513,0.6534732364408599,3,21,8,686,11,0,car,OWN,GA,19,108,3331,60,2,0.9253476542763198,2,2,not_verified,0
27557,37969,15,9,0.5697036634347051,0.2551042490080453,0,16,8,325,13,0,medical,RENT,GA,26,16,4944,36,0,0.947623445671736,0,0,not_verified,0
34763,115980,21,6,0.5881739856026442,0.5108246940204897,1,18,3,589,14,4,car,MORTGAGE,NC,51,113,9141,60,2,0.7614063852938756,1,3,verified,1
33606,161855,1,19,0.01689266578977463,0.5079976690384372,0,1,5,770,6,2,education,OWN,FL,22,15,12096,60,0,0.31836849745470375,0,4,verified,0
12534,133259,14,8,0.35295875605729055,0.8248408057604221,1,12,5,334,4,4,business,MORTGAGE,TX,53,58,7356,36,3,0.7174406327484069,0,4,not_verified,1
30127,46107,39,8,0.25433677223493517,0.9160038338688417,1,20,1,306,1,0,wedding,RENT,PA,50,98,13131,36,1,0.3176770696260304,2,1,verified,1
41397,191703,16,19,0.3110647896088676,0.5984324629577448,0,13,7,660,0,0,medical,OWN,CA,19,78,8870,36,2,0.7627707035540512,0,4,verified,0
26851,149831,12,24,0.11553391945905575,0.9936046438288096,0,2,3,701,7,2,car,MORTGAGE,NY,37,116,12821,60,4,0.14559617083773668,2,4,not_verified,0
2016,29789,34,17,0.4627524719981643,0.3442158576753126,1,18,7,626,11,1,medical,OWN,CA,48,21,9541,36,1,0.06393783271564657,0,1,not_verified,1
25253,28214,24,25,0.16505275504673986,0.41599961721593093,1,15,6,746,2,1,wedding,RENT,OH,68,101,4417,36,2,0.21766845089217002,1,1,not_verified,0
25276,85657,9,29,0.379948044170512,0.011751411428215675,1,17,1,506,2,1,wedding,RENT,NC,27,90,11492,60,0,0.7746705874813314,0,4,verified,1
24247,44482,10,19,0.07796512203747098,0.08830023680897592,0,9,3,317,4,0,business,RENT,GA,58,64,5592,60,4,0.40872171311772976,0,1,verified,0
25300,178544,32,26,0.3343873312539724,0.9171715326522778,0,21,1,377,14,4,home,OWN,TX,30,94,8634,36,2,0.49217378155271907,0,0,verified,0
9529,89536,13,26,0.2634483579868647,0.10510509427250259,0,19,3,537,3,3,car,OWN,MI,63,17,8425,36,1,0.05735666405755113,2,4,not_verified,0
18262,63187,33,7,0.0753736238974169,0.49543609515171605,1,23,4,589,2,1,car,MORTGAGE,OH,45,69,7713,36,4,0.07150746440271327,1,2,not_verified,0
10268,46087,21,8,0.036202608862356475,0.879013775004345,0,22,8,698,7,2,education,MORTGAGE,GA,34,1,3590,60,0,0.8637940307269528,0,0,not_verified,0
22271,15941,3,19,0.513512970340953,0.7412734229776955,0,8,7,546,6,4,business,MORTGAGE,IL,49,90,10711,36,1,0.3808065332459476,2,0,verified,1
13185,134340,25,2,0.32905130540401273,0.16161987453384496,0,20,6,842,10,0,home,OWN,IL,18,89,4460,36,2,0.7526902171192215,2,0,verified,0
22243,147393,0,21,0.4081036043896346,0.6638456174837967,1,21,3,807,3,2,car,MORTGAGE,OH,19,27,6476,60,4,0.2617254010359612,1,3,verified,1
40099,60972,9,8,0.4133478753078823,0.1630767818600508,0,4,6,732,12,0,education,RENT,OH,26,7,11032,36,3,0.44691132840180026,2,2,verified,1
9571,101658,35,14,0.1767297787501154,0.7129707022373973,1,19,4,754,12,1,education,OWN,OH,37,82,2928,60,1,0.8760406230659005,1,4,verified,1
40976,54361,1,2,0.4393328229337132,0.9801069616060456,1,2,4,460,12,4,wedding,MORTGAGE,NY,19,88,14258,36,2,0.2775483919023646,2,3,not_verified,1
39044,56354,28,21,0.03264774725924076,0.558545924455698,0,23,2,450,14,0,business,OWN,FL,26,96,4456,60,0,0.4735929696006118,0,2,not_verified,0
49984,81327,24,18,0.054448221584764415,0.13576832063216904,1,3,4,449,1,4,business,RENT,PA,20,57,14399,36,0,0.7425565811504375,2,3,not_verified,0
41774,62191,22,16,0.10145976381260632,0.2982720198336388,1,22,7,821,13,3,medical,RENT,NC,31,20,8205,36,1,0.47090405200443664,0,3,not_verified,1
3568,70828,29,28,0.32878791132545027,0.1591210525463721,1,20,0,835,3,4,wedding,MORTGAGE,CA,69,9,12337,36,4,0.0024250716871561107,2,2,verified,0
3027,25136,24,8,0.5165084818697753,0.9483154128906862,0,1,1,395,3,3,car,RENT,OH,54,12,14508,60,3,0.599504218582332,0,2,verified,1
3695,161819,12,18,0.2824830335730807,0.37582759877304883,0,5,8,726,10,0,home,MORTGAGE,CA,50,81,14471,60,0,0.402899563850059,1,2,not_verified,0
49190,81279,39,7,0.4300192158679541,0.37247663553063715,1,13,8,448,11,4,car,MORTGAGE,TX,33,51,12198,60,2,0.2233405159449332,1,1,not_verified,1
6258,87060,33,10,0.20095460567789208,0.08778501845431486,0,15,8,487,0,3,medical,OWN,NC,34,10,8746,36,1,0.2554506924260652,1,1,not_verified,0
23002,54342,34,19,0.15791375925655626,0.04915424303443283,1,17,1,652,3,3,business,MORTGAGE,PA,31,18,14112,60,2,0.08650601163786864,2,0,not_verified,0
40504,96851,14,10,0.490987758936491,0.7798984349722318,1,16,1,698,10,2,home,RENT,NY,58,21,715,36,2,0.23406771221270672,1,0,not_verified,0
34159,191404,38,16,0.17183037304818424,0.2562802089648688,0,20,4,846,8,4,wedding,MORTGAGE,OH,21,78,7246,36,1,0.45477812533158235,2,0,verified,0
14986,47961,19,21,0.25750596318673685,0.957832551051016,0,20,2,657,7,3,medical,RENT,IL,52,91,13749,60,1,0.89831112257492,1,1,verified,1
13666,121198,21,29,0.5069948350362427,0.9710536441067776,1,2,0,557,7,4,wedding,MORTGAGE,MI,62,4,13263,60,4,0.2939415434868021,2,4,not_verified,0
39660,84810,24,13,0.36365692938747257,0.6347288175833465,3,24,9,550,4,3,car,RENT,NC,60,74,10219,60,1,0.32188918954731427,1,2,verified,1
4561,44838,13,5,0.36392498261103345,0.5809232854226358,0,12,1,551,12,1,education,RENT,GA,57,18,14341,36,2,0.1583101011289888,2,1,not_verified,1
27854,29332,18,20,0.06574355233566975,0.42459029610974064,0,4,0,615,14,4,car,OWN,GA,41,61,1782,36,2,0.2790175643214332,2,1,verified,0
39952,78001,21,22,0.1631025991447209,0.825011608592038,0,14,6,544,2,1,education,RENT,FL,23,116,6571,60,1,0.15868848642459865,2,4,verified,0
23662,105329,22,17,0.2257087550869978,0.7082721575340966,0,14,4,662,10,4,home,OWN,GA,33,49,1155,60,1,0.370735864031956,0,3,verified,0
9392,182422,0,27,0.2968442374192901,0.05202541123285387,0,11,7,795,3,4,car,MORTGAGE,PA,20,105,9913,36,3,0.9983170223459711,1,3,not_verified,0
31535,134771,38,11,0.3635108389281177,0.37204752003347774,0,11,8,651,14,4,car,RENT,FL,23,50,14898,60,3,0.840395671473901,2,4,verified,0
14067,95954,29,24,0.03700109676027065,0.613098808804846,0,24,4,613,13,4,business,OWN,NY,30,41,6117,60,3,0.4718303616116897,2,0,verified,0
49033,63473,4,1,0.5659752633869958,0.9593722830334724,1,16,2,818,13,4,car,OWN,FL,30,46,9139,36,0,0.29510075740582664,0,4,not_verified,0
24599,186969,29,13,0.54619573578437,0.2380862540530061,0,2,6,334,2,2,home,MORTGAGE,NY,55,4,7129,60,2,0.6532376828204361,2,1,not_verified,1
36222,26682,6,1,0.5117555608518073,0.058013167366722906,0,21,5,482,9,3,business,RENT,NC,19,5,9412,60,0,0.9821506635115616,1,4,not_verified,0
12837,167799,12,7,0.3430768266334107,0.5358643256350112,2,10,2,513,13,0,medical,MORTGAGE,IL,23,77,14375,36,1,0.9842000946543767,0,4,not_verified,1
15039,58775,30,6,0.38891423202703196,0.19073003021906942,0,16,1,311,9,2,car,OWN,IL,66,75,5098,36,0,0.2006681845411289,0,3,verified,1
31818,71941,6,13,0.45394893388820706,0.12795171959441043,1,1,7,682,9,0,medical,MORTGAGE,FL,62,12,12414,60,3,0.10125896101019527,1,1,not_verified,0
20115,27115,28,22,0.11551933735039314,0.1962126969373007,2,23,5,797,8,1,medical,MORTGAGE,OH,33,29,9003,36,4,0.4758479932026036,2,4,verified,1
11965,65937,24,14,0.5755352833363426,0.6126761667461111,0,20,5,728,5,1,business,OWN,PA,58,25,8206,60,4,0.24729671577225754,2,2,not_verified,0
25538,60132,12,8,0.423649847917008,0.1503890741839936,0,7,9,374,6,0,medical,OWN,TX,61,58,6827,36,1,0.3969857955243059,0,1,not_verified,1
43530,27025,14,3,0.07164622358049882,0.4891930455034921,0,10,6,382,14,2,business,RENT,NC,33,61,12698,36,4,0.7874036108328712,0,3,verified,1
6056,110439,29,5,0.3341966108753259,0.9224808179852964,1,5,5,448,3,3,education,OWN,TX,55,28,4841,60,2,0.6126591589424626,0,0,verified,0
33482,73526,6,16,0.14502979153734225,0.7882793603757597,0,17,5,682,4,0,medical,RENT,FL,60,112,4995,60,1,0.06244681562193344,0,4,verified,0
48716,162979,4,12,0.15251355653882087,0.6880936441098261,0,16,3,684,1,0,business,MORTGAGE,PA,42,16,10740,60,3,0.44570738919783814,1,4,verified,0
9110,83832,13,8,0.43243989746711675,0.16102704487113673,1,21,8,686,1,0,home,OWN,PA,34,7,13286,36,1,0.7339350310539874,2,4,verified,1
14773,71108,29,29,0.26062615400893085,0.715081642486838,1,8,0,798,2,0,wedding,OWN,FL,18,74,14646,36,4,0.8515359688822529,0,0,verified,0
28266,166935,22,20,0.07570646515037834,0.28177087681252144,1,19,4,366,12,0,car,OWN,NC,60,85,4056,36,3,0.5978453460878366,2,0,verified,0
18412,151757,15,23,0.09980183208177285,0.545494752654601,1,5,2,609,5,1,business,RENT,MI,67,113,10154,60,0,0.5577724255948734,2,0,not_verified,1
34270,21647,23,4,0.06240530012927925,0.07955933770259616,0,9,4,373,4,0,medical,RENT,FL,55,62,12652,36,2,0.26621382690036144,0,4,not_verified,1
7910,45145,20,25,0.027875529040572992,0.6024801182342465,0,7,9,513,1,3,medical,OWN,NY,31,60,13926,36,4,0.25912370919814287,0,1,not_verified,0
46453,186634,29,17,0.5069561752482562,0.9613660140646262,0,16,4,418,1,2,medical,MORTGAGE,TX,56,34,2269,60,0,0.4910769494087236,2,4,not_verified,0
26446,118894,11,23,0.04336338127917427,0.9640078318227062,2,18,2,812,6,1,home,RENT,GA,35,118,7829,36,2,0.09761676365657623,1,3,verified,0
1206,166839,39,26,0.30228715424846053,0.5342980079793255,0,6,6,700,1,0,wedding,RENT,PA,46,74,14879,36,3,0.8598910090972647,2,4,not_verified,0
22518,113702,29,25,0.029194678920534817,0.4720821125705791,1,6,8,788,6,2,education,MORTGAGE,IL,44,106,1144,60,3,0.3672377682326464,0,4,not_verified,0
23361,131839,37,5,0.4477877419175939,0.9690995308614703,0,2,5,475,3,4,medical,OWN,FL,67,49,4091,36,4,0.006269177948261873,0,2,not_verified,1
24419,20430,21,10,0.04268165358293522,0.3648164140508193,0,20,5,333,3,2,wedding,RENT,GA,18,8,10524,60,1,0.926833019603477,1,4,not_verified,0
49702,149952,1,4,0.04475158909718221,0.5303889832651957,0,15,7,421,9,3,home,MORTGAGE,OH,69,5,8294,36,3,0.6743138863375662,2,1,verified,0
42523,80662,22,25,0.22397930393680227,0.9815634703808197,0,24,1,458,12,2,medical,MORTGAGE,IL,34,9,3234,36,1,0.6676407140330087,0,1,verified,0
46151,131775,22,7,0.22301855935657858,0.9299897680536299,0,18,7,766,11,4,business,RENT,OH,30,119,2446,36,3,0.4511774820546548,2,4,verified,0
23403,75487,21,2,0.16762297860382747,0.11823945449886009,0,23,0,351,10,3,car,MORTGAGE,CA,42,99,11292,36,3,0.8935677837115442,1,3,not_verified,1
19141,54793,29,9,0.5678822835684415,0.11355130329559282,0,4,3,468,11,4,home,MORTGAGE,TX,23,13,13440,36,4,0.1502848932563936,2,3,not_verified,0
15820,128584,26,21,0.20248861172503968,0.8468925255941065,1,14,0,709,14,3,home,MORTGAGE,MI,54,94,14443,36,2,0.9702854988018862,2,2,verified,0
41342,125549,33,19,0.08133989901734684,0.8037096543528454,1,15,9,368,13,2,car,OWN,NY,61,49,10812,60,2,0.0785735831854647,1,4,verified,0
7374,72590,10,7,0.576110149729811,0.8980136126616414,0,15,8,313,3,1,wedding,OWN,OH,68,84,14549,36,4,0.7689184050092696,0,4,not_verified,0
2678,86461,28,2,0.37821210887650764,0.8811062915843826,0,13,2,701,2,1,medical,OWN,FL,33,3,14655,36,4,0.7309833386386805,2,2,verified,0
34827,67470,36,25,0.010153351615776306,0.14550301526958076,0,22,5,739,12,4,business,MORTGAGE,CA,58,71,10049,36,2,0.48185219340042085,0,2,not_verified,0
17198,78616,5,26,0.20892505669960523,0.0002876601537732393,1,3,3,389,12,2,car,RENT,GA,43,90,3871,36,4,0.6503690779213573,2,1,not_verified,0
10914,115361,15,27,0.5413604508266069,0.05315931352498815,1,5,0,350,9,3,home,OWN,MI,30,99,1354,36,0,0.9622782711869136,1,3,not_verified,0
28890,184743,19,1,0.34438801235445005,0.5011442254271682,0,21,0,673,13,3,education,OWN,MI,56,78,9180,36,2,0.4624358767239375,0,2,verified,1
23299,151407,9,10,0.1975424208305142,0.7257885084741827,1,17,5,575,0,1,wedding,MORTGAGE,GA,24,39,13909,36,4,0.48114855899706754,2,4,verified,0
44585,83525,37,21,0.10693028252646229,0.061875524293477424,0,23,1,649,6,2,education,MORTGAGE,GA,19,113,2602,36,0,0.21640405150586217,2,1,verified,0
44689,120879,36,25,0.42996181162631336,0.1214025782421726,0,15,2,578,1,2,medical,MORTGAGE,NY,23,29,4932,60,1,0.4061485966857802,0,4,verified,0
43557,108709,9,21,0.3378535132923039,0.20684178358693228,0,1,8,663,10,4,business,OWN,PA,65,80,10925,60,0,0.42663455978931875,0,4,not_verified,0
45020,86257,24,23,0.4741868877878392,0.06598657431577781,0,19,0,446,4,0,wedding,OWN,MI,22,92,14350,36,4,0.44610567666419343,2,0,not_verified,0
3693,17728,21,18,0.36211696181924563,0.3367243293526816,0,10,6,842,6,2,education,OWN,CA,46,41,13861,36,4,0.4900480674175587,1,2,not_verified,0
30467,98511,31,6,0.48398441329092645,0.6002137233369118,1,18,6,759,12,0,education,OWN,GA,42,117,3319,36,0,0.7775298714936453,1,3,not_verified,1
30723,37167,16,17,0.16455034594747256,0.4525358240929521,1,10,4,824,6,4,business,MORTGAGE,PA,49,11,9116,60,1,0.7485077232197536,1,2,not_verified,0
47699,182001,25,14,0.11889109988883308,0.12029489723082021,0,2,5,430,12,0,car,MORTGAGE,OH,26,0,1077,36,0,0.3636578890020411,0,3,verified,1
4627,88711,15,17,0.37022111626852255,0.05931607363502833,0,14,7,838,11,3,business,MORTGAGE,MI,25,80,14146,36,0,0.3126948449504381,0,2,not_verified,0
26939,183469,9,15,0.43955121809474296,0.4421379070775827,0,17,3,493,1,2,medical,RENT,MI,33,32,4754,60,4,0.875304653942017,2,2,verified,1
49925,141218,16,8,0.5831410019146711,0.11168983905802621,0,23,9,433,6,3,wedding,MORTGAGE,PA,61,118,8520,60,2,0.6544878795077926,0,1,verified,0
43941,193608,1,17,0.3760977239066682,0.10747786821503347,0,7,6,673,5,1,education,MORTGAGE,PA,55,78,11778,60,2,0.9283317060697354,1,2,not_verified,0
22834,87437,1,21,0.44125168856693253,0.025298051466651983,1,4,1,681,4,3,medical,MORTGAGE,IL,43,41,2879,60,0,0.3432957201734115,0,1,not_verified,0
19047,91426,28,19,0.2290336715333752,0.879276508397074,1,5,3,436,14,2,home,OWN,PA,68,51,4329,60,1,0.4015568054303491,0,4,verified,1
